1. netqlty 0.75, netp 1.0000, onep 0.0000, zerop 1.0000, randp 1.0000, kuperinp 1.0000, sxs 1
2268. netqlty 0.83, netp 0.4951, onep 0.5031, zerop 0.4969, randp 0.4929, kuperinp 0.4819, sxs 1
2269. netqlty 0.83, netp 0.4949, onep 0.5033, zerop 0.4967, randp 0.4927, kuperinp 0.4822, sxs 0
2270. netqlty 0.85, netp 0.4952, onep 0.5031, zerop 0.4969, randp 0.4925, kuperinp 0.4819, sxs 1
2271. netqlty 0.75, netp 0.4954, onep 0.5033, zerop 0.4967, randp 0.4923, kuperinp 0.4817, sxs 1
2272. netqlty 0.83, netp 0.4952, onep 0.5035, zerop 0.4965, randp 0.4921, kuperinp 0.4820, sxs 0
2273. netqlty 0.77, netp 0.4949, onep 0.5033, zerop 0.4967, randp 0.4919, kuperinp 0.4817, sxs 0
2274. netqlty 0.83, netp 0.4947, onep 0.5031, zerop 0.4969, randp 0.4921, kuperinp 0.4820, sxs 0
2275. netqlty 0.82, netp 0.4949, onep 0.5033, zerop 0.4967, randp 0.4919, kuperinp 0.4818, sxs 1
2276. netqlty 0.82, netp 0.4947, onep 0.5031, zerop 0.4969, randp 0.4917, kuperinp 0.4815, sxs 0
2277. netqlty 0.80, netp 0.4949, onep 0.5029, zerop 0.4971, randp 0.4914, kuperinp 0.4818, sxs 1
2278. netqlty 0.89, netp 0.4952, onep 0.5031, zerop 0.4969, randp 0.4917, kuperinp 0.4816, sxs 1
2279. netqlty 0.80, netp 0.4954, onep 0.5033, zerop 0.4967, randp 0.4914, kuperinp 0.4818, sxs 1
2280. netqlty 0.70, netp 0.4952, onep 0.5035, zerop 0.4965, randp 0.4912, kuperinp 0.4820, sxs 0
2281. netqlty 0.70, netp 0.4954, onep 0.5037, zerop 0.4963, randp 0.4910, kuperinp 0.4822, sxs 1
2282. netqlty 0.91, netp 0.4956, onep 0.5039, zerop 0.4961, randp 0.4908, kuperinp 0.4825, sxs 1
2283. netqlty 0.83, netp 0.4958, onep 0.5037, zerop 0.4963, randp 0.4910, kuperinp 0.4823, sxs 1
2284. netqlty 0.73, netp 0.4956, onep 0.5039, zerop 0.4961, randp 0.4908, kuperinp 0.4820, sxs 0
2285. netqlty 0.75, netp 0.4954, onep 0.5037, zerop 0.4963, randp 0.4910, kuperinp 0.4818, sxs 0
2286. netqlty 0.73, netp 0.4952, onep 0.5035, zerop 0.4965, randp 0.4913, kuperinp 0.4821, sxs 0
2287. netqlty 0.82, netp 0.4950, onep 0.5033, zerop 0.4967, randp 0.4910, kuperinp 0.4823, sxs 0
2288. netqlty 0.82, netp 0.4948, onep 0.5031, zerop 0.4969, randp 0.4908, kuperinp 0.4825, sxs 0
2289. netqlty 0.80, netp 0.4950, onep 0.5028, zerop 0.4972, randp 0.4910, kuperinp 0.4827, sxs 1
2290. netqlty 0.78, netp 0.4948, onep 0.5031, zerop 0.4969, randp 0.4913, kuperinp 0.4825, sxs 0
2291. netqlty 0.70, netp 0.4945, onep 0.5033, zerop 0.4967, randp 0.4911, kuperinp 0.4828, sxs 0
2292. netqlty 0.80, netp 0.4943, onep 0.5031, zerop 0.4969, randp 0.4913, kuperinp 0.4825, sxs 0
2293. netqlty 0.67, netp 0.4945, onep 0.5028, zerop 0.4972, randp 0.4915, kuperinp 0.4828, sxs 1
2294. netqlty 0.67, netp 0.4948, onep 0.5026, zerop 0.4974, randp 0.4917, kuperinp 0.4830, sxs 1
2295. netqlty 0.78, netp 0.4946, onep 0.5024, zerop 0.4976, randp 0.4915, kuperinp 0.4832, sxs 0
2296. netqlty 0.88, netp 0.4943, onep 0.5022, zerop 0.4978, randp 0.4917, kuperinp 0.4834, sxs 0
2297. netqlty 0.88, netp 0.4941, onep 0.5024, zerop 0.4976, randp 0.4919, kuperinp 0.4832, sxs 0
2298. netqlty 0.89, netp 0.4939, onep 0.5026, zerop 0.4974, randp 0.4917, kuperinp 0.4835, sxs 0
2299. netqlty 0.78, netp 0.4937, onep 0.5028, zerop 0.4972, randp 0.4920, kuperinp 0.4837, sxs 0
2300. netqlty 0.78, netp 0.4939, onep 0.5030, zerop 0.4970, randp 0.4917, kuperinp 0.4839, sxs 1
2301. netqlty 0.67, netp 0.4937, onep 0.5033, zerop 0.4967, randp 0.4920, kuperinp 0.4841, sxs 0
2302. netqlty 0.89, netp 0.4939, onep 0.5035, zerop 0.4965, randp 0.4922, kuperinp 0.4844, sxs 1
2303. netqlty 0.89, netp 0.4941, onep 0.5037, zerop 0.4963, randp 0.4924, kuperinp 0.4846, sxs 1
2304. netqlty 0.90, netp 0.4944, onep 0.5039, zerop 0.4961, randp 0.4926, kuperinp 0.4848, sxs 1
2305. netqlty 0.90, netp 0.4946, onep 0.5041, zerop 0.4959, randp 0.4928, kuperinp 0.4850, sxs 1
2306. netqlty 0.91, netp 0.4944, onep 0.5039, zerop 0.4961, randp 0.4931, kuperinp 0.4848, sxs 0
2307. netqlty 0.82, netp 0.4946, onep 0.5037, zerop 0.4963, randp 0.4933, kuperinp 0.4850, sxs 1
2308. netqlty 0.91, netp 0.4948, onep 0.5035, zerop 0.4965, randp 0.4935, kuperinp 0.4853, sxs 1
2309. netqlty 1.00, netp 0.4950, onep 0.5032, zerop 0.4968, randp 0.4937, kuperinp 0.4855, sxs 1
2310. netqlty 0.91, netp 0.4952, onep 0.5030, zerop 0.4970, randp 0.4935, kuperinp 0.4857, sxs 1
2311. netqlty 1.00, netp 0.4950, onep 0.5032, zerop 0.4968, randp 0.4937, kuperinp 0.4855, sxs 0
2312. netqlty 0.90, netp 0.4952, onep 0.5030, zerop 0.4970, randp 0.4939, kuperinp 0.4853, sxs 1
2313. netqlty 0.80, netp 0.4950, onep 0.5032, zerop 0.4968, randp 0.4942, kuperinp 0.4851, sxs 0
2314. netqlty 0.91, netp 0.4952, onep 0.5035, zerop 0.4965, randp 0.4944, kuperinp 0.4853, sxs 1
2315. netqlty 0.83, netp 0.4955, onep 0.5037, zerop 0.4963, randp 0.4942, kuperinp 0.4855, sxs 1
2316. netqlty 0.92, netp 0.4953, onep 0.5035, zerop 0.4965, randp 0.4944, kuperinp 0.4853, sxs 0
2317. netqlty 0.92, netp 0.4950, onep 0.5037, zerop 0.4963, randp 0.4946, kuperinp 0.4851, sxs 0
2318. netqlty 0.92, netp 0.4948, onep 0.5035, zerop 0.4965, randp 0.4944, kuperinp 0.4849, sxs 0
2319. netqlty 0.83, netp 0.4946, onep 0.5037, zerop 0.4963, randp 0.4946, kuperinp 0.4847, sxs 0
2320. netqlty 0.83, netp 0.4944, onep 0.5039, zerop 0.4961, randp 0.4944, kuperinp 0.4849, sxs 0
2321. netqlty 0.83, netp 0.4946, onep 0.5037, zerop 0.4963, randp 0.4946, kuperinp 0.4847, sxs 1
2322. netqlty 0.82, netp 0.4948, onep 0.5039, zerop 0.4961, randp 0.4948, kuperinp 0.4845, sxs 1
2323. netqlty 0.91, netp 0.4946, onep 0.5041, zerop 0.4959, randp 0.4946, kuperinp 0.4847, sxs 0
2324. netqlty 0.91, netp 0.4944, onep 0.5043, zerop 0.4957, randp 0.4944, kuperinp 0.4849, sxs 0
2325. netqlty 0.91, netp 0.4946, onep 0.5045, zerop 0.4955, randp 0.4942, kuperinp 0.4852, sxs 1
2326. netqlty 0.82, netp 0.4948, onep 0.5047, zerop 0.4953, randp 0.4944, kuperinp 0.4854, sxs 1
2327. netqlty 0.92, netp 0.4951, onep 0.5049, zerop 0.4951, randp 0.4942, kuperinp 0.4856, sxs 1
2328. netqlty 0.77, netp 0.4948, onep 0.5047, zerop 0.4953, randp 0.4940, kuperinp 0.4854, sxs 0
2329. netqlty 0.77, netp 0.4951, onep 0.5049, zerop 0.4951, randp 0.4938, kuperinp 0.4852, sxs 1
2330. netqlty 0.86, netp 0.4948, onep 0.5052, zerop 0.4948, randp 0.4940, kuperinp 0.4854, sxs 0
2331. netqlty 0.87, netp 0.4946, onep 0.5049, zerop 0.4951, randp 0.4938, kuperinp 0.4852, sxs 0
2332. netqlty 0.86, netp 0.4949, onep 0.5051, zerop 0.4949, randp 0.4940, kuperinp 0.4850, sxs 1
2333. netqlty 0.80, netp 0.4951, onep 0.5054, zerop 0.4946, randp 0.4938, kuperinp 0.4852, sxs 1
2334. netqlty 0.87, netp 0.4949, onep 0.5056, zerop 0.4944, randp 0.4940, kuperinp 0.4854, sxs 0
2335. netqlty 0.93, netp 0.4946, onep 0.5054, zerop 0.4946, randp 0.4942, kuperinp 0.4852, sxs 0
2336. netqlty 0.93, netp 0.4949, onep 0.5056, zerop 0.4944, randp 0.4940, kuperinp 0.4850, sxs 1
2337. netqlty 0.93, netp 0.4947, onep 0.5058, zerop 0.4942, randp 0.4942, kuperinp 0.4852, sxs 0
2338. netqlty 0.93, netp 0.4944, onep 0.5056, zerop 0.4944, randp 0.4940, kuperinp 0.4850, sxs 0
2339. netqlty 1.00, netp 0.4942, onep 0.5053, zerop 0.4947, randp 0.4938, kuperinp 0.4853, sxs 0
2340. netqlty 0.86, netp 0.4944, onep 0.5056, zerop 0.4944, randp 0.4940, kuperinp 0.4850, sxs 1
2341. netqlty 0.86, netp 0.4947, onep 0.5058, zerop 0.4942, randp 0.4938, kuperinp 0.4853, sxs 1
2342. netqlty 0.87, netp 0.4949, onep 0.5060, zerop 0.4940, randp 0.4936, kuperinp 0.4855, sxs 1
2343. netqlty 0.93, netp 0.4947, onep 0.5062, zerop 0.4938, randp 0.4938, kuperinp 0.4857, sxs 0
2344. netqlty 0.93, netp 0.4945, onep 0.5064, zerop 0.4936, randp 0.4940, kuperinp 0.4859, sxs 0
2345. netqlty 0.93, netp 0.4942, onep 0.5062, zerop 0.4938, randp 0.4938, kuperinp 0.4857, sxs 0
2346. netqlty 0.79, netp 0.4940, onep 0.5060, zerop 0.4940, randp 0.4936, kuperinp 0.4859, sxs 0
2347. netqlty 0.77, netp 0.4942, onep 0.5058, zerop 0.4942, randp 0.4938, kuperinp 0.4862, sxs 1
2348. netqlty 0.83, netp 0.4940, onep 0.5060, zerop 0.4940, randp 0.4936, kuperinp 0.4859, sxs 0
2349. netqlty 0.85, netp 0.4938, onep 0.5057, zerop 0.4943, randp 0.4934, kuperinp 0.4857, sxs 0
2350. netqlty 0.83, netp 0.4936, onep 0.5060, zerop 0.4940, randp 0.4936, kuperinp 0.4855, sxs 0
2351. netqlty 0.75, netp 0.4938, onep 0.5062, zerop 0.4938, randp 0.4934, kuperinp 0.4858, sxs 1
2352. netqlty 0.85, netp 0.4936, onep 0.5064, zerop 0.4936, randp 0.4932, kuperinp 0.4860, sxs 0
2353. netqlty 0.85, netp 0.4938, onep 0.5062, zerop 0.4938, randp 0.4934, kuperinp 0.4858, sxs 1
2354. netqlty 0.92, netp 0.4936, onep 0.5064, zerop 0.4936, randp 0.4936, kuperinp 0.4856, sxs 0
2355. netqlty 0.83, netp 0.4934, onep 0.5062, zerop 0.4938, randp 0.4934, kuperinp 0.4854, sxs 0
2356. netqlty 0.83, netp 0.4936, onep 0.5064, zerop 0.4936, randp 0.4932, kuperinp 0.4851, sxs 1
2357. netqlty 0.75, netp 0.4938, onep 0.5062, zerop 0.4938, randp 0.4930, kuperinp 0.4849, sxs 1
2358. netqlty 0.73, netp 0.4936, onep 0.5059, zerop 0.4941, randp 0.4932, kuperinp 0.4852, sxs 0
2359. netqlty 0.91, netp 0.4934, onep 0.5061, zerop 0.4939, randp 0.4930, kuperinp 0.4850, sxs 0
2360. netqlty 0.75, netp 0.4932, onep 0.5064, zerop 0.4936, randp 0.4928, kuperinp 0.4852, sxs 0
2361. netqlty 0.75, netp 0.4930, onep 0.5066, zerop 0.4934, randp 0.4926, kuperinp 0.4854, sxs 0
2362. netqlty 0.83, netp 0.4928, onep 0.5064, zerop 0.4936, randp 0.4924, kuperinp 0.4852, sxs 0
2363. netqlty 1.00, netp 0.4926, onep 0.5061, zerop 0.4939, randp 0.4926, kuperinp 0.4854, sxs 0
2364. netqlty 0.70, netp 0.4924, onep 0.5063, zerop 0.4937, randp 0.4924, kuperinp 0.4852, sxs 0
2365. netqlty 0.70, netp 0.4922, onep 0.5061, zerop 0.4939, randp 0.4926, kuperinp 0.4850, sxs 0
2366. netqlty 0.70, netp 0.4920, onep 0.5059, zerop 0.4941, randp 0.4924, kuperinp 0.4852, sxs 0
2367. netqlty 0.80, netp 0.4918, onep 0.5057, zerop 0.4943, randp 0.4922, kuperinp 0.4854, sxs 0
2368. netqlty 0.80, netp 0.4920, onep 0.5059, zerop 0.4941, randp 0.4924, kuperinp 0.4852, sxs 1
2369. netqlty 0.80, netp 0.4918, onep 0.5061, zerop 0.4939, randp 0.4926, kuperinp 0.4854, sxs 0
2370. netqlty 0.73, netp 0.4920, onep 0.5059, zerop 0.4941, randp 0.4924, kuperinp 0.4852, sxs 1
2371. netqlty 0.70, netp 0.4922, onep 0.5057, zerop 0.4943, randp 0.4922, kuperinp 0.4854, sxs 1
2372. netqlty 0.67, netp 0.4924, onep 0.5059, zerop 0.4941, randp 0.4924, kuperinp 0.4852, sxs 1
2373. netqlty 0.67, netp 0.4926, onep 0.5057, zerop 0.4943, randp 0.4922, kuperinp 0.4850, sxs 1
2374. netqlty 0.78, netp 0.4924, onep 0.5059, zerop 0.4941, randp 0.4924, kuperinp 0.4848, sxs 0
2375. netqlty 0.67, netp 0.4922, onep 0.5057, zerop 0.4943, randp 0.4922, kuperinp 0.4846, sxs 0
2376. netqlty 0.67, netp 0.4924, onep 0.5059, zerop 0.4941, randp 0.4920, kuperinp 0.4844, sxs 1
2377. netqlty 0.78, netp 0.4922, onep 0.5061, zerop 0.4939, randp 0.4918, kuperinp 0.4846, sxs 0
2378. netqlty 0.70, netp 0.4924, onep 0.5063, zerop 0.4937, randp 0.4920, kuperinp 0.4849, sxs 1
2379. netqlty 0.82, netp 0.4926, onep 0.5065, zerop 0.4935, randp 0.4918, kuperinp 0.4851, sxs 1
2380. netqlty 0.73, netp 0.4929, onep 0.5067, zerop 0.4933, randp 0.4920, kuperinp 0.4853, sxs 1
2381. netqlty 0.73, netp 0.4931, onep 0.5069, zerop 0.4931, randp 0.4922, kuperinp 0.4855, sxs 1
2382. netqlty 0.91, netp 0.4929, onep 0.5067, zerop 0.4933, randp 0.4920, kuperinp 0.4853, sxs 0
2383. netqlty 0.82, netp 0.4931, onep 0.5069, zerop 0.4931, randp 0.4918, kuperinp 0.4851, sxs 1
2384. netqlty 0.75, netp 0.4929, onep 0.5067, zerop 0.4933, randp 0.4920, kuperinp 0.4849, sxs 0
2385. netqlty 0.82, netp 0.4927, onep 0.5065, zerop 0.4935, randp 0.4918, kuperinp 0.4851, sxs 0
2386. netqlty 0.82, netp 0.4925, onep 0.5063, zerop 0.4937, randp 0.4920, kuperinp 0.4853, sxs 0
2387. netqlty 0.82, netp 0.4922, onep 0.5061, zerop 0.4939, randp 0.4918, kuperinp 0.4855, sxs 0
2388. netqlty 0.91, netp 0.4920, onep 0.5063, zerop 0.4937, randp 0.4920, kuperinp 0.4853, sxs 0
2389. netqlty 0.82, netp 0.4918, onep 0.5065, zerop 0.4935, randp 0.4918, kuperinp 0.4856, sxs 0
2390. netqlty 0.82, netp 0.4916, onep 0.5063, zerop 0.4937, randp 0.4916, kuperinp 0.4854, sxs 0
2391. netqlty 0.82, netp 0.4914, onep 0.5061, zerop 0.4939, randp 0.4918, kuperinp 0.4856, sxs 0
2392. netqlty 0.82, netp 0.4912, onep 0.5063, zerop 0.4937, randp 0.4921, kuperinp 0.4854, sxs 0
2393. netqlty 0.82, netp 0.4914, onep 0.5065, zerop 0.4935, randp 0.4923, kuperinp 0.4856, sxs 1
2394. netqlty 0.83, netp 0.4912, onep 0.5063, zerop 0.4937, randp 0.4921, kuperinp 0.4854, sxs 0
2395. netqlty 0.82, netp 0.4910, onep 0.5061, zerop 0.4939, randp 0.4919, kuperinp 0.4856, sxs 0
2396. netqlty 0.73, netp 0.4912, onep 0.5058, zerop 0.4942, randp 0.4917, kuperinp 0.4858, sxs 1
2397. netqlty 0.80, netp 0.4914, onep 0.5056, zerop 0.4944, randp 0.4919, kuperinp 0.4860, sxs 1
2398. netqlty 0.78, netp 0.4912, onep 0.5058, zerop 0.4942, randp 0.4917, kuperinp 0.4858, sxs 0
2399. netqlty 0.89, netp 0.4915, onep 0.5060, zerop 0.4940, randp 0.4919, kuperinp 0.4860, sxs 1
2400. netqlty 0.78, netp 0.4917, onep 0.5062, zerop 0.4938, randp 0.4921, kuperinp 0.4863, sxs 1
2401. netqlty 0.78, netp 0.4919, onep 0.5060, zerop 0.4940, randp 0.4923, kuperinp 0.4860, sxs 1
2402. netqlty 0.75, netp 0.4921, onep 0.5062, zerop 0.4938, randp 0.4925, kuperinp 0.4858, sxs 1
2403. netqlty 0.67, netp 0.4923, onep 0.5060, zerop 0.4940, randp 0.4927, kuperinp 0.4856, sxs 1
2404. netqlty 0.62, netp 0.4921, onep 0.5062, zerop 0.4938, randp 0.4929, kuperinp 0.4854, sxs 0
2405. netqlty 0.67, netp 0.4923, onep 0.5064, zerop 0.4936, randp 0.4927, kuperinp 0.4857, sxs 1
2406. netqlty 0.70, netp 0.4925, onep 0.5067, zerop 0.4933, randp 0.4929, kuperinp 0.4859, sxs 1
2407. netqlty 0.91, netp 0.4927, onep 0.5069, zerop 0.4931, randp 0.4931, kuperinp 0.4861, sxs 1
2408. netqlty 0.75, netp 0.4929, onep 0.5071, zerop 0.4929, randp 0.4934, kuperinp 0.4863, sxs 1
2409. netqlty 0.75, netp 0.4932, onep 0.5073, zerop 0.4927, randp 0.4932, kuperinp 0.4865, sxs 1
2410. netqlty 0.92, netp 0.4929, onep 0.5075, zerop 0.4925, randp 0.4934, kuperinp 0.4867, sxs 0
2411. netqlty 0.92, netp 0.4927, onep 0.5077, zerop 0.4923, randp 0.4936, kuperinp 0.4869, sxs 0
2412. netqlty 1.00, netp 0.4930, onep 0.5075, zerop 0.4925, randp 0.4938, kuperinp 0.4867, sxs 1
2413. netqlty 0.92, netp 0.4927, onep 0.5073, zerop 0.4927, randp 0.4936, kuperinp 0.4869, sxs 0
2414. netqlty 0.92, netp 0.4925, onep 0.5075, zerop 0.4925, randp 0.4934, kuperinp 0.4867, sxs 0
2415. netqlty 0.85, netp 0.4928, onep 0.5077, zerop 0.4923, randp 0.4936, kuperinp 0.4870, sxs 1
2416. netqlty 0.86, netp 0.4925, onep 0.5075, zerop 0.4925, randp 0.4934, kuperinp 0.4868, sxs 0
2417. netqlty 0.86, netp 0.4923, onep 0.5077, zerop 0.4923, randp 0.4932, kuperinp 0.4866, sxs 0
2418. netqlty 0.93, netp 0.4926, onep 0.5079, zerop 0.4921, randp 0.4930, kuperinp 0.4868, sxs 1
2419. netqlty 0.87, netp 0.4924, onep 0.5081, zerop 0.4919, randp 0.4932, kuperinp 0.4870, sxs 0
2420. netqlty 0.93, netp 0.4921, onep 0.5079, zerop 0.4921, randp 0.4934, kuperinp 0.4868, sxs 0
2421. netqlty 0.93, netp 0.4919, onep 0.5076, zerop 0.4924, randp 0.4932, kuperinp 0.4870, sxs 0
2422. netqlty 0.86, netp 0.4917, onep 0.5074, zerop 0.4926, randp 0.4934, kuperinp 0.4872, sxs 0
2423. netqlty 0.85, netp 0.4915, onep 0.5076, zerop 0.4924, randp 0.4936, kuperinp 0.4870, sxs 0
2424. netqlty 0.86, netp 0.4913, onep 0.5078, zerop 0.4922, randp 0.4934, kuperinp 0.4872, sxs 0
2425. netqlty 0.79, netp 0.4911, onep 0.5076, zerop 0.4924, randp 0.4936, kuperinp 0.4870, sxs 0
2426. netqlty 0.85, netp 0.4909, onep 0.5074, zerop 0.4926, randp 0.4938, kuperinp 0.4872, sxs 0
2427. netqlty 0.83, netp 0.4907, onep 0.5076, zerop 0.4924, randp 0.4936, kuperinp 0.4870, sxs 0
2428. netqlty 0.83, netp 0.4909, onep 0.5078, zerop 0.4922, randp 0.4938, kuperinp 0.4872, sxs 1
2429. netqlty 0.83, netp 0.4907, onep 0.5076, zerop 0.4924, randp 0.4940, kuperinp 0.4870, sxs 0
2430. netqlty 0.82, netp 0.4909, onep 0.5074, zerop 0.4926, randp 0.4942, kuperinp 0.4872, sxs 1
2431. netqlty 0.80, netp 0.4912, onep 0.5076, zerop 0.4924, randp 0.4940, kuperinp 0.4870, sxs 1
2432. netqlty 0.90, netp 0.4910, onep 0.5074, zerop 0.4926, randp 0.4942, kuperinp 0.4868, sxs 0
2433. netqlty 0.80, netp 0.4912, onep 0.5072, zerop 0.4928, randp 0.4940, kuperinp 0.4871, sxs 1
2434. netqlty 0.80, netp 0.4914, onep 0.5070, zerop 0.4930, randp 0.4938, kuperinp 0.4873, sxs 1
2435. netqlty 0.78, netp 0.4912, onep 0.5068, zerop 0.4932, randp 0.4940, kuperinp 0.4875, sxs 0
2436. netqlty 0.88, netp 0.4914, onep 0.5066, zerop 0.4934, randp 0.4943, kuperinp 0.4877, sxs 1
2437. netqlty 0.75, netp 0.4916, onep 0.5064, zerop 0.4936, randp 0.4941, kuperinp 0.4879, sxs 1
2438. netqlty 0.71, netp 0.4918, onep 0.5062, zerop 0.4938, randp 0.4938, kuperinp 0.4881, sxs 1
2439. netqlty 0.83, netp 0.4920, onep 0.5059, zerop 0.4941, randp 0.4941, kuperinp 0.4883, sxs 1
2440. netqlty 0.80, netp 0.4922, onep 0.5057, zerop 0.4943, randp 0.4939, kuperinp 0.4885, sxs 1
2441. netqlty 1.00, netp 0.4920, onep 0.5059, zerop 0.4941, randp 0.4941, kuperinp 0.4883, sxs 0
2442. netqlty 0.83, netp 0.4922, onep 0.5057, zerop 0.4943, randp 0.4939, kuperinp 0.4881, sxs 1
2443. netqlty 0.83, netp 0.4924, onep 0.5055, zerop 0.4945, randp 0.4941, kuperinp 0.4883, sxs 1
2444. netqlty 0.80, netp 0.4926, onep 0.5053, zerop 0.4947, randp 0.4943, kuperinp 0.4885, sxs 1
2445. netqlty 0.75, netp 0.4924, onep 0.5055, zerop 0.4945, randp 0.4941, kuperinp 0.4883, sxs 0
2446. netqlty 0.80, netp 0.4922, onep 0.5057, zerop 0.4943, randp 0.4939, kuperinp 0.4886, sxs 0
2447. netqlty 0.83, netp 0.4920, onep 0.5055, zerop 0.4945, randp 0.4941, kuperinp 0.4884, sxs 0
2448. netqlty 0.60, netp 0.4922, onep 0.5053, zerop 0.4947, randp 0.4943, kuperinp 0.4886, sxs 1
2449. netqlty 0.50, netp 0.4924, onep 0.5051, zerop 0.4949, randp 0.4941, kuperinp 0.4888, sxs 1
2450. netqlty 0.75, netp 0.4922, onep 0.5053, zerop 0.4947, randp 0.4943, kuperinp 0.4886, sxs 0
2451. netqlty 0.60, netp 0.4920, onep 0.5055, zerop 0.4945, randp 0.4941, kuperinp 0.4888, sxs 0
2452. netqlty 0.80, netp 0.4923, onep 0.5053, zerop 0.4947, randp 0.4939, kuperinp 0.4886, sxs 1
2453. netqlty 0.80, netp 0.4925, onep 0.5051, zerop 0.4949, randp 0.4941, kuperinp 0.4888, sxs 1
2454. netqlty 1.00, netp 0.4927, onep 0.5049, zerop 0.4951, randp 0.4939, kuperinp 0.4890, sxs 1
2455. netqlty 0.60, netp 0.4929, onep 0.5047, zerop 0.4953, randp 0.4941, kuperinp 0.4892, sxs 1
2456. netqlty 0.40, netp 0.4927, onep 0.5049, zerop 0.4951, randp 0.4943, kuperinp 0.4890, sxs 0
2457. netqlty 0.83, netp 0.4925, onep 0.5047, zerop 0.4953, randp 0.4945, kuperinp 0.4888, sxs 0
2458. netqlty 0.67, netp 0.4923, onep 0.5045, zerop 0.4955, randp 0.4947, kuperinp 0.4890, sxs 0
2459. netqlty 0.67, netp 0.4925, onep 0.5043, zerop 0.4957, randp 0.4949, kuperinp 0.4892, sxs 1
2460. netqlty 0.67, netp 0.4923, onep 0.5041, zerop 0.4959, randp 0.4951, kuperinp 0.4894, sxs 0
2461. netqlty 0.83, netp 0.4925, onep 0.5039, zerop 0.4961, randp 0.4949, kuperinp 0.4896, sxs 1
2462. netqlty 0.60, netp 0.4923, onep 0.5041, zerop 0.4959, randp 0.4947, kuperinp 0.4894, sxs 0
2463. netqlty 0.50, netp 0.4921, onep 0.5043, zerop 0.4957, randp 0.4949, kuperinp 0.4896, sxs 0
2464. netqlty 1.00, netp 0.4923, onep 0.5045, zerop 0.4955, randp 0.4951, kuperinp 0.4899, sxs 1
2465. netqlty 0.75, netp 0.4921, onep 0.5043, zerop 0.4957, randp 0.4949, kuperinp 0.4897, sxs 0
2466. netqlty 0.71, netp 0.4919, onep 0.5045, zerop 0.4955, randp 0.4947, kuperinp 0.4895, sxs 0
2467. netqlty 0.57, netp 0.4921, onep 0.5043, zerop 0.4957, randp 0.4945, kuperinp 0.4893, sxs 1
2468. netqlty 0.57, netp 0.4919, onep 0.5045, zerop 0.4955, randp 0.4947, kuperinp 0.4891, sxs 0
2469. netqlty 0.75, netp 0.4921, onep 0.5047, zerop 0.4953, randp 0.4945, kuperinp 0.4893, sxs 1
2470. netqlty 0.78, netp 0.4919, onep 0.5045, zerop 0.4955, randp 0.4947, kuperinp 0.4891, sxs 0
2471. netqlty 0.75, netp 0.4921, onep 0.5047, zerop 0.4953, randp 0.4949, kuperinp 0.4889, sxs 1
2472. netqlty 0.75, netp 0.4923, onep 0.5044, zerop 0.4956, randp 0.4951, kuperinp 0.4887, sxs 1
2473. netqlty 0.75, netp 0.4921, onep 0.5042, zerop 0.4958, randp 0.4953, kuperinp 0.4889, sxs 0
2474. netqlty 0.62, netp 0.4923, onep 0.5040, zerop 0.4960, randp 0.4956, kuperinp 0.4891, sxs 1
2475. netqlty 0.75, netp 0.4921, onep 0.5038, zerop 0.4962, randp 0.4954, kuperinp 0.4893, sxs 0
2476. netqlty 0.75, netp 0.4923, onep 0.5036, zerop 0.4964, randp 0.4952, kuperinp 0.4895, sxs 1
2477. netqlty 0.71, netp 0.4921, onep 0.5034, zerop 0.4966, randp 0.4950, kuperinp 0.4897, sxs 0
2478. netqlty 0.71, netp 0.4923, onep 0.5032, zerop 0.4968, randp 0.4948, kuperinp 0.4899, sxs 1
2479. netqlty 0.86, netp 0.4925, onep 0.5030, zerop 0.4970, randp 0.4946, kuperinp 0.4901, sxs 1
2480. netqlty 0.86, netp 0.4923, onep 0.5032, zerop 0.4968, randp 0.4944, kuperinp 0.4899, sxs 0
2481. netqlty 0.75, netp 0.4925, onep 0.5030, zerop 0.4970, randp 0.4942, kuperinp 0.4897, sxs 1
2482. netqlty 0.75, netp 0.4927, onep 0.5028, zerop 0.4972, randp 0.4944, kuperinp 0.4899, sxs 1
2483. netqlty 0.86, netp 0.4925, onep 0.5030, zerop 0.4970, randp 0.4946, kuperinp 0.4897, sxs 0
2484. netqlty 0.71, netp 0.4924, onep 0.5032, zerop 0.4968, randp 0.4948, kuperinp 0.4899, sxs 0
2485. netqlty 0.57, netp 0.4922, onep 0.5030, zerop 0.4970, randp 0.4950, kuperinp 0.4897, sxs 0
2486. netqlty 0.71, netp 0.4920, onep 0.5028, zerop 0.4972, randp 0.4948, kuperinp 0.4899, sxs 0
2487. netqlty 0.83, netp 0.4918, onep 0.5026, zerop 0.4974, randp 0.4946, kuperinp 0.4901, sxs 0
2488. netqlty 0.50, netp 0.4916, onep 0.5028, zerop 0.4972, randp 0.4948, kuperinp 0.4900, sxs 0
2489. netqlty 0.67, netp 0.4918, onep 0.5026, zerop 0.4974, randp 0.4946, kuperinp 0.4898, sxs 1
2490. netqlty 0.60, netp 0.4920, onep 0.5024, zerop 0.4976, randp 0.4944, kuperinp 0.4900, sxs 1
2491. netqlty 0.60, netp 0.4918, onep 0.5022, zerop 0.4978, randp 0.4942, kuperinp 0.4902, sxs 0
